IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.43.26,443,443,true,FRA,Europe,Frankfurt,258,5.66
34.90.188.200,443,443,true,FRA,Europe,Frankfurt,270,5.66
34.89.128.165,443,443,true,FRA,Europe,Frankfurt,263,5.66
35.198.125.238,443,443,true,FRA,Europe,Frankfurt,251,5.65
34.154.85.251,443,443,true,FRA,Europe,Frankfurt,265,5.65
34.65.2.140,443,443,true,FRA,Europe,Frankfurt,254,5.65
34.90.47.122,443,443,true,FRA,Europe,Frankfurt,258,5.65
34.65.123.250,443,443,true,FRA,Europe,Frankfurt,251,5.64
34.154.192.70,443,443,true,FRA,Europe,Frankfurt,251,5.64
34.65.253.167,443,443,true,FRA,Europe,Frankfurt,257,5.64
34.89.128.165,443,443,true,FRA,Europe,Frankfurt,252,5.63
34.65.240.216,443,443,true,FRA,Europe,Frankfurt,257,5.63
34.90.210.245,443,443,true,FRA,Europe,Frankfurt,264,5.63
34.65.67.185,443,443,true,FRA,Europe,Frankfurt,252,5.63
34.32.232.90,443,443,true,FRA,Europe,Frankfurt,264,5.63
34.65.2.140,443,443,true,FRA,Europe,Frankfurt,250,5.63
34.65.184.228,443,443,true,FRA,Europe,Frankfurt,262,5.62
34.154.9.19,443,443,true,FRA,Europe,Frankfurt,262,5.62
34.147.63.145,443,443,true,FRA,Europe,Frankfurt,268,5.62
34.65.197.35,443,443,true,FRA,Europe,Frankfurt,267,5.62
34.65.249.244,443,443,true,FRA,Europe,Frankfurt,255,5.62
34.154.72.171,443,443,true,FRA,Europe,Frankfurt,256,5.62
34.118.49.153,443,443,true,FRA,Europe,Frankfurt,278,5.61
34.154.79.210,443,443,true,FRA,Europe,Frankfurt,268,5.61
34.159.59.238,443,443,true,FRA,Europe,Frankfurt,260,5.61
34.90.25.74,443,443,true,FRA,Europe,Frankfurt,257,5.61
34.65.80.181,443,443,true,FRA,Europe,Frankfurt,251,5.61
34.65.43.26,443,443,true,FRA,Europe,Frankfurt,269,5.61
34.65.204.3,443,443,true,FRA,Europe,Frankfurt,251,5.61
34.154.221.175,443,443,true,FRA,Europe,Frankfurt,253,5.60
34.116.149.54,443,443,true,FRA,Europe,Frankfurt,318,5.60
34.65.9.155,443,443,true,FRA,Europe,Frankfurt,253,5.60
34.91.64.220,443,443,true,FRA,Europe,Frankfurt,271,5.60
34.154.124.229,443,443,true,FRA,Europe,Frankfurt,252,5.60
34.65.204.3,443,443,true,FRA,Europe,Frankfurt,259,5.60
34.65.44.52,443,443,true,FRA,Europe,Frankfurt,251,5.59
34.154.91.254,443,443,true,FRA,Europe,Frankfurt,261,5.59
34.159.26.228,443,443,true,FRA,Europe,Frankfurt,322,5.59
34.65.197.35,443,443,true,FRA,Europe,Frankfurt,263,5.59
34.118.27.184,443,443,true,FRA,Europe,Frankfurt,330,5.58
34.91.133.170,443,443,true,FRA,Europe,Frankfurt,268,5.58
34.118.56.112,443,443,true,FRA,Europe,Frankfurt,323,5.58
34.65.9.155,443,443,true,FRA,Europe,Frankfurt,257,5.58
34.159.104.132,443,443,true,FRA,Europe,Frankfurt,297,5.58
34.147.16.159,443,443,true,FRA,Europe,Frankfurt,264,5.58
34.147.11.115,443,443,true,FRA,Europe,Frankfurt,269,5.58
34.65.56.107,443,443,true,FRA,Europe,Frankfurt,249,5.58
34.89.134.110,443,443,true,FRA,Europe,Frankfurt,263,5.57
35.234.70.163,443,443,true,FRA,Europe,Frankfurt,249,5.57
34.154.87.71,443,443,true,FRA,Europe,Frankfurt,257,5.57
34.65.29.231,443,443,true,FRA,Europe,Frankfurt,257,5.57
34.65.203.120,443,443,true,FRA,Europe,Frankfurt,250,5.57
34.154.143.191,443,443,true,FRA,Europe,Frankfurt,252,5.57
34.65.164.235,443,443,true,FRA,Europe,Frankfurt,253,5.56
34.65.240.216,443,443,true,FRA,Europe,Frankfurt,259,5.56
34.154.159.23,443,443,true,FRA,Europe,Frankfurt,272,5.55
34.65.212.101,443,443,true,FRA,Europe,Frankfurt,251,5.55
34.116.166.101,443,443,true,FRA,Europe,Frankfurt,324,5.55
34.65.80.181,443,443,true,FRA,Europe,Frankfurt,253,5.54
34.118.127.11,443,443,true,FRA,Europe,Frankfurt,279,5.54
34.65.89.138,443,443,true,FRA,Europe,Frankfurt,252,5.53
34.116.253.170,443,443,true,FRA,Europe,Frankfurt,697,5.53
34.154.148.158,443,443,true,FRA,Europe,Frankfurt,275,5.53
34.65.130.191,443,443,true,FRA,Europe,Frankfurt,251,5.53
34.32.164.220,443,443,true,FRA,Europe,Frankfurt,274,5.53
34.90.188.200,443,443,true,FRA,Europe,Frankfurt,270,5.52
34.107.94.216,443,443,true,FRA,Europe,Frankfurt,252,5.52
34.116.147.75,443,443,true,FRA,Europe,Frankfurt,332,5.52
34.154.154.180,443,443,true,FRA,Europe,Frankfurt,256,5.52
34.116.145.162,443,443,true,FRA,Europe,Frankfurt,280,5.51
34.118.115.155,443,443,true,FRA,Europe,Frankfurt,275,5.51
34.159.111.217,443,443,true,FRA,Europe,Frankfurt,273,5.51
34.116.252.167,443,443,true,FRA,Europe,Frankfurt,372,5.51
34.65.240.28,443,443,true,FRA,Europe,Frankfurt,257,5.51
34.65.214.170,443,443,true,FRA,Europe,Frankfurt,261,5.50
34.65.116.198,443,443,true,FRA,Europe,Frankfurt,266,5.50
35.234.71.243,443,443,true,FRA,Europe,Frankfurt,261,5.50
34.154.240.202,443,443,true,FRA,Europe,Frankfurt,253,5.50
34.116.140.3,443,443,true,FRA,Europe,Frankfurt,288,5.49
34.90.188.200,443,443,true,FRA,Europe,Frankfurt,256,5.49
34.116.212.40,443,443,true,FRA,Europe,Frankfurt,278,5.49
34.118.122.157,443,443,true,FRA,Europe,Frankfurt,289,5.49
34.91.42.66,443,443,true,FRA,Europe,Frankfurt,270,5.49
34.118.57.46,443,443,true,FRA,Europe,Frankfurt,302,5.49
34.91.216.198,443,443,true,FRA,Europe,Frankfurt,256,5.48
34.116.171.197,443,443,true,FRA,Europe,Frankfurt,269,5.48
34.91.71.92,443,443,true,FRA,Europe,Frankfurt,257,5.48
34.159.30.150,443,443,true,FRA,Europe,Frankfurt,304,5.48
34.91.216.198,443,443,true,FRA,Europe,Frankfurt,266,5.48
34.65.42.175,443,443,true,FRA,Europe,Frankfurt,252,5.48
34.90.94.175,443,443,true,FRA,Europe,Frankfurt,258,5.48
34.91.133.170,443,443,true,FRA,Europe,Frankfurt,263,5.47
34.118.47.182,443,443,true,FRA,Europe,Frankfurt,322,5.47
34.91.42.66,443,443,true,FRA,Europe,Frankfurt,260,5.47
34.91.216.198,443,443,true,FRA,Europe,Frankfurt,256,5.47
34.65.1.57,443,443,true,FRA,Europe,Frankfurt,254,5.46
34.116.134.144,443,443,true,FRA,Europe,Frankfurt,313,5.46
34.90.94.175,443,443,true,FRA,Europe,Frankfurt,258,5.46
35.246.251.226,443,443,true,FRA,Europe,Frankfurt,269,5.46
34.118.115.155,443,443,true,FRA,Europe,Frankfurt,270,5.46
34.65.197.35,443,443,true,FRA,Europe,Frankfurt,252,5.46
34.116.159.43,443,443,true,FRA,Europe,Frankfurt,279,5.45
34.159.239.135,443,443,true,FRA,Europe,Frankfurt,277,5.45
34.116.195.217,443,443,true,FRA,Europe,Frankfurt,286,5.44
34.89.247.203,443,443,true,FRA,Europe,Frankfurt,264,5.44
